w 1.00, x_std 10.00, r_std 10.00, avacc 58.376%
w 1.00, x_std 10.00, r_std 20.00, avacc 58.389%
w 1.00, x_std 10.00, r_std 30.00, avacc 58.369%
w 1.00, x_std 10.00, r_std 40.00, avacc 58.341%
w 1.00, x_std 10.00, r_std 50.00, avacc 58.315%
w 1.00, x_std 20.00, r_std 10.00, avacc 58.861%
w 1.00, x_std 20.00, r_std 20.00, avacc 58.850%
w 1.00, x_std 20.00, r_std 30.00, avacc 58.814%
w 1.00, x_std 20.00, r_std 40.00, avacc 58.762%
w 1.00, x_std 20.00, r_std 50.00, avacc 58.725%
w 1.00, x_std 30.00, r_std 10.00, avacc 59.178%
w 1.00, x_std 30.00, r_std 20.00, avacc 59.164%
w 1.00, x_std 30.00, r_std 30.00, avacc 59.121%
w 1.00, x_std 30.00, r_std 40.00, avacc 59.086%
w 1.00, x_std 30.00, r_std 50.00, avacc 59.047%
w 1.00, x_std 40.00, r_std 10.00, avacc 59.420%
w 1.00, x_std 40.00, r_std 20.00, avacc 59.408%
w 1.00, x_std 40.00, r_std 30.00, avacc 59.367%
w 1.00, x_std 40.00, r_std 40.00, avacc 59.317%
w 1.00, x_std 40.00, r_std 50.00, avacc 59.278%
w 1.00, x_std 50.00, r_std 10.00, avacc 59.580%
w 1.00, x_std 50.00, r_std 20.00, avacc 59.553%
w 1.00, x_std 50.00, r_std 30.00, avacc 59.502%
w 1.00, x_std 50.00, r_std 40.00, avacc 59.453%
w 1.00, x_std 50.00, r_std 50.00, avacc 59.392%
w 5.00, x_std 10.00, r_std 10.00, avacc 59.385%
w 5.00, x_std 10.00, r_std 20.00, avacc 59.413%
w 5.00, x_std 10.00, r_std 30.00, avacc 59.338%
w 5.00, x_std 10.00, r_std 40.00, avacc 59.251%
w 5.00, x_std 10.00, r_std 50.00, avacc 59.182%
w 5.00, x_std 20.00, r_std 10.00, avacc 60.439%
w 5.00, x_std 20.00, r_std 20.00, avacc 60.383%
w 5.00, x_std 20.00, r_std 30.00, avacc 60.249%
w 5.00, x_std 20.00, r_std 40.00, avacc 60.100%
w 5.00, x_std 20.00, r_std 50.00, avacc 60.023%
w 5.00, x_std 30.00, r_std 10.00, avacc 60.955%
w 5.00, x_std 30.00, r_std 20.00, avacc 60.713%
w 5.00, x_std 30.00, r_std 30.00, avacc 60.586%
w 5.00, x_std 30.00, r_std 40.00, avacc 60.388%
w 5.00, x_std 30.00, r_std 50.00, avacc 60.266%
w 5.00, x_std 40.00, r_std 10.00, avacc 61.259%
w 5.00, x_std 40.00, r_std 20.00, avacc 61.037%
w 5.00, x_std 40.00, r_std 30.00, avacc 60.859%
w 5.00, x_std 40.00, r_std 40.00, avacc 60.635%
w 5.00, x_std 40.00, r_std 50.00, avacc 60.421%
w 5.00, x_std 50.00, r_std 10.00, avacc 61.307%
w 5.00, x_std 50.00, r_std 20.00, avacc 60.876%
w 5.00, x_std 50.00, r_std 30.00, avacc 60.780%
w 5.00, x_std 50.00, r_std 40.00, avacc 60.406%
w 5.00, x_std 50.00, r_std 50.00, avacc 60.031%
w 10.00, x_std 10.00, r_std 10.00, avacc 59.594%
w 10.00, x_std 10.00, r_std 20.00, avacc 59.598%
w 10.00, x_std 10.00, r_std 30.00, avacc 59.510%
w 10.00, x_std 10.00, r_std 40.00, avacc 59.402%
w 10.00, x_std 10.00, r_std 50.00, avacc 59.347%
w 10.00, x_std 20.00, r_std 10.00, avacc 60.468%
w 10.00, x_std 20.00, r_std 20.00, avacc 60.242%
w 10.00, x_std 20.00, r_std 30.00, avacc 60.076%
w 10.00, x_std 20.00, r_std 40.00, avacc 59.861%
w 10.00, x_std 20.00, r_std 50.00, avacc 59.811%
w 10.00, x_std 30.00, r_std 10.00, avacc 60.617%
w 10.00, x_std 30.00, r_std 20.00, avacc 60.329%
w 10.00, x_std 30.00, r_std 30.00, avacc 59.999%
w 10.00, x_std 30.00, r_std 40.00, avacc 59.830%
w 10.00, x_std 30.00, r_std 50.00, avacc 59.562%
w 10.00, x_std 40.00, r_std 10.00, avacc 60.423%
w 10.00, x_std 40.00, r_std 20.00, avacc 59.873%
w 10.00, x_std 40.00, r_std 30.00, avacc 59.701%
w 10.00, x_std 40.00, r_std 40.00, avacc 59.114%
w 10.00, x_std 40.00, r_std 50.00, avacc 58.735%
w 10.00, x_std 50.00, r_std 10.00, avacc 59.917%
w 10.00, x_std 50.00, r_std 20.00, avacc 59.342%
w 10.00, x_std 50.00, r_std 30.00, avacc 58.630%
w 10.00, x_std 50.00, r_std 40.00, avacc 58.002%
w 10.00, x_std 50.00, r_std 50.00, avacc 57.492%
w 15.00, x_std 10.00, r_std 10.00, avacc 59.647%
w 15.00, x_std 10.00, r_std 20.00, avacc 59.629%
w 15.00, x_std 10.00, r_std 30.00, avacc 59.551%
w 15.00, x_std 10.00, r_std 40.00, avacc 59.416%
w 15.00, x_std 10.00, r_std 50.00, avacc 59.354%
w 15.00, x_std 20.00, r_std 10.00, avacc 60.248%
w 15.00, x_std 20.00, r_std 20.00, avacc 59.965%
w 15.00, x_std 20.00, r_std 30.00, avacc 59.725%
w 15.00, x_std 20.00, r_std 40.00, avacc 59.472%
w 15.00, x_std 20.00, r_std 50.00, avacc 59.447%
w 15.00, x_std 30.00, r_std 10.00, avacc 60.095%
w 15.00, x_std 30.00, r_std 20.00, avacc 59.665%
w 15.00, x_std 30.00, r_std 30.00, avacc 59.161%
w 15.00, x_std 30.00, r_std 40.00, avacc 58.939%
w 15.00, x_std 30.00, r_std 50.00, avacc 58.571%
w 15.00, x_std 40.00, r_std 10.00, avacc 59.371%
w 15.00, x_std 40.00, r_std 20.00, avacc 58.754%
w 15.00, x_std 40.00, r_std 30.00, avacc 58.365%
w 15.00, x_std 40.00, r_std 40.00, avacc 57.638%
w 15.00, x_std 40.00, r_std 50.00, avacc 57.120%
w 15.00, x_std 50.00, r_std 10.00, avacc 58.637%
w 15.00, x_std 50.00, r_std 20.00, avacc 57.656%
w 15.00, x_std 50.00, r_std 30.00, avacc 56.675%
w 15.00, x_std 50.00, r_std 40.00, avacc 55.842%
w 15.00, x_std 50.00, r_std 50.00, avacc 54.827%
w 20.00, x_std 10.00, r_std 10.00, avacc 59.650%
w 20.00, x_std 10.00, r_std 20.00, avacc 59.629%
w 20.00, x_std 10.00, r_std 30.00, avacc 59.534%
w 20.00, x_std 10.00, r_std 40.00, avacc 59.404%
w 20.00, x_std 10.00, r_std 50.00, avacc 59.340%
w 20.00, x_std 20.00, r_std 10.00, avacc 60.046%
w 20.00, x_std 20.00, r_std 20.00, avacc 59.694%
w 20.00, x_std 20.00, r_std 30.00, avacc 59.440%
w 20.00, x_std 20.00, r_std 40.00, avacc 59.159%
w 20.00, x_std 20.00, r_std 50.00, avacc 59.108%
w 20.00, x_std 30.00, r_std 10.00, avacc 59.671%
w 20.00, x_std 30.00, r_std 20.00, avacc 59.128%
w 20.00, x_std 30.00, r_std 30.00, avacc 58.471%
w 20.00, x_std 30.00, r_std 40.00, avacc 58.202%
w 20.00, x_std 30.00, r_std 50.00, avacc 57.800%
w 20.00, x_std 40.00, r_std 10.00, avacc 58.709%
w 20.00, x_std 40.00, r_std 20.00, avacc 57.926%
w 20.00, x_std 40.00, r_std 30.00, avacc 57.421%
w 20.00, x_std 40.00, r_std 40.00, avacc 56.447%
w 20.00, x_std 40.00, r_std 50.00, avacc 55.881%
w 20.00, x_std 50.00, r_std 10.00, avacc 57.656%
w 20.00, x_std 50.00, r_std 20.00, avacc 56.405%
w 20.00, x_std 50.00, r_std 30.00, avacc 55.101%
w 20.00, x_std 50.00, r_std 40.00, avacc 54.015%
w 20.00, x_std 50.00, r_std 50.00, avacc 52.799%
